[Sat Sep 08 12:41:47 2012] [crit] [client 127.0.0.1] (13)Permission denied: /home/pasha/webdevelop/mage_forpix/.htaccess pcfg_openfile: unable to check htaccess file, ensure it is readable
[Sat Sep 08 12:41:47 2012] [crit] [client 127.0.0.1] (13)Permission denied: /home/pasha/webdevelop/mage_forpix/.htaccess pcfg_openfile: unable to check htaccess file, ensure it is readable
[Sat Sep 08 12:43:05 2012] [error] [client 127.0.0.1] client denied by server configuration: /home/pasha/webdevelop/mage_forpix/app/etc/local.xml
[Sun Sep 09 22:40:19 2012] [error] [client 127.0.0.1] PHP Parse error:  syntax error, unexpected ',' in /home/pasha/webdevelop/mage_forpix/app/code/local/Wao/Singup/Model/Uploader.php on line 73, referer: http://forpix.loc/singup/index/edit/img/64/
[Fri Sep 14 17:17:18 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function append() on a non-object in /home/pasha/webdevelop/mage_forpix/app/code/local/Wao/Singup/controllers/IndexController.php on line 39
[Fri Sep 14 17:19:08 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function append() on a non-object in /home/pasha/webdevelop/mage_forpix/app/code/local/Wao/Singup/controllers/IndexController.php on line 39
[Fri Sep 14 17:19:23 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function append() on a non-object in /home/pasha/webdevelop/mage_forpix/app/code/local/Wao/Singup/controllers/IndexController.php on line 39
[Fri Sep 14 17:21:39 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function append() on a non-object in /home/pasha/webdevelop/mage_forpix/app/code/local/Wao/Singup/controllers/IndexController.php on line 39
[Fri Sep 14 17:21:47 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function append() on a non-object in /home/pasha/webdevelop/mage_forpix/app/code/local/Wao/Singup/controllers/IndexController.php on line 39
[Fri Sep 14 17:21:54 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function append() on a non-object in /home/pasha/webdevelop/mage_forpix/app/code/local/Wao/Singup/controllers/IndexController.php on line 39
[Fri Sep 14 17:22:11 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function append() on a non-object in /home/pasha/webdevelop/mage_forpix/app/code/local/Wao/Singup/controllers/IndexController.php on line 39
[Fri Sep 14 17:22:12 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function append() on a non-object in /home/pasha/webdevelop/mage_forpix/app/code/local/Wao/Singup/controllers/IndexController.php on line 39
[Fri Sep 14 17:22:12 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function append() on a non-object in /home/pasha/webdevelop/mage_forpix/app/code/local/Wao/Singup/controllers/IndexController.php on line 39
[Fri Sep 14 17:22:12 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function append() on a non-object in /home/pasha/webdevelop/mage_forpix/app/code/local/Wao/Singup/controllers/IndexController.php on line 39
[Fri Sep 14 17:22:18 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function append() on a non-object in /home/pasha/webdevelop/mage_forpix/app/code/local/Wao/Singup/controllers/IndexController.php on line 39
[Fri Sep 14 17:22:24 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function append() on a non-object in /home/pasha/webdevelop/mage_forpix/app/code/local/Wao/Singup/controllers/IndexController.php on line 39
[Fri Sep 14 17:22:35 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function append() on a non-object in /home/pasha/webdevelop/mage_forpix/app/code/local/Wao/Singup/controllers/IndexController.php on line 39
[Fri Sep 14 17:22:58 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function append() on a non-object in /home/pasha/webdevelop/mage_forpix/app/code/local/Wao/Singup/controllers/IndexController.php on line 39
[Fri Sep 14 17:23:13 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function append() on a non-object in /home/pasha/webdevelop/mage_forpix/app/code/local/Wao/Singup/controllers/IndexController.php on line 39
[Fri Sep 14 17:23:23 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function append() on a non-object in /home/pasha/webdevelop/mage_forpix/app/code/local/Wao/Singup/controllers/IndexController.php on line 39
[Fri Sep 14 17:24:44 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function append() on a non-object in /home/pasha/webdevelop/mage_forpix/app/code/local/Wao/Singup/controllers/IndexController.php on line 39
[Fri Sep 14 17:28:49 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function append() on a non-object in /home/pasha/webdevelop/mage_forpix/app/code/local/Wao/Singup/controllers/IndexController.php on line 39
[Fri Sep 14 17:28:59 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function append() on a non-object in /home/pasha/webdevelop/mage_forpix/app/code/local/Wao/Singup/controllers/IndexController.php on line 39
[Mon Sep 17 10:05:18 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function append() on a non-object in /home/pasha/webdevelop/mage_forpix/app/code/local/Wao/Singup/controllers/IndexController.php on line 39
[Mon Sep 17 10:07:19 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to a member function append() on a non-object in /home/pasha/webdevelop/mage_forpix/app/code/local/Wao/Singup/controllers/IndexController.php on line 39
[Mon Sep 17 10:36:48 2012] [error] [client 127.0.0.1] PHP Fatal error:  Class 'Wao_Singup_Block_Inner' not found in /home/pasha/webdevelop/mage_forpix/app/code/core/Mage/Core/Model/Layout.php on line 491, referer: http://forpix.loc/singup/index/account/
[Mon Sep 17 10:53:46 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to undefined function html_special_chars() in /home/pasha/webdevelop/mage_forpix/app/code/local/Wao/Singup/Model/Uploader.php on line 119, referer: http://forpix.loc/singup/index/account/
[Mon Sep 17 10:54:08 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to undefined function html_special_chars() in /home/pasha/webdevelop/mage_forpix/app/code/local/Wao/Singup/Model/Uploader.php on line 119, referer: http://forpix.loc/singup/index/account/
[Mon Sep 17 11:03:03 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to undefined function transName() in /home/pasha/webdevelop/mage_forpix/app/code/local/Wao/Singup/Model/Uploader.php on line 64, referer: http://forpix.loc/singup/index/edit/img/114/
[Mon Sep 17 11:06:43 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to undefined function transName() in /home/pasha/webdevelop/mage_forpix/app/code/local/Wao/Singup/Model/Uploader.php on line 64, referer: http://forpix.loc/singup/index/edit/img/114/
[Mon Sep 17 11:07:11 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to undefined function transName() in /home/pasha/webdevelop/mage_forpix/app/code/local/Wao/Singup/Model/Uploader.php on line 64, referer: http://forpix.loc/singup/index/edit/img/114/
[Mon Sep 17 11:07:30 2012] [error] [client 127.0.0.1] PHP Fatal error:  Call to undefined function transName() in /home/pasha/webdevelop/mage_forpix/app/code/local/Wao/Singup/Model/Uploader.php on line 64, referer: http://forpix.loc/singup/index/edit/img/114/
[Mon Sep 17 11:39:07 2012] [error] [client 127.0.0.1] File does not exist: /home/pasha/webdevelop/mage_forpix/skin/frontend/base/default/wao, referer: http://forpix.loc/singup/index/account/
[Mon Sep 17 11:39:17 2012] [error] [client 127.0.0.1] File does not exist: /home/pasha/webdevelop/mage_forpix/skin/frontend/base/default/wao, referer: http://forpix.loc/singup/index/account/
[Mon Sep 17 11:39:28 2012] [error] [client 127.0.0.1] File does not exist: /home/pasha/webdevelop/mage_forpix/skin/frontend/base/default/wao, referer: http://forpix.loc/singup/index/account/
[Mon Sep 17 13:22:47 2012] [error] [client 127.0.0.1] File does not exist: /home/pasha/webdevelop/mage_forpix/skin/frontend/base/default/js/wao/singup/lightbox/lightbox.css, referer: http://forpix.loc/singup/index/account/
[Mon Sep 17 13:22:47 2012] [error] [client 127.0.0.1] File does not exist: /home/pasha/webdevelop/mage_forpix/skin/frontend/base/default/js/wao/singup/lightbox/lightbox.js, referer: http://forpix.loc/singup/index/account/
[Mon Sep 17 13:43:25 2012] [error] [client 127.0.0.1] File does not exist: /home/pasha/webdevelop/mage_forpix/skin/frontend/base/default/js/wao/singup/lightbox/images/prev.png, referer: http://forpix.loc/singup/index/account/
